Market,Region,Lon,Lat
Bongao Public Market,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,119.7736,5.0291
Cotabato City Mega Market,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,124.24415,7.2246
Cotabato City Old Market,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,124.24334,7.2219
Datu Odin Sinsuat Public Market,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,124.31698,7.0244
"Jolo Public, Serantes Chinese Pier Market",BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,120.9978,6.0523
Lamitan City Public Market,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,122.1738,6.5645
Parang Public Market,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,122.17369,6.5647
Tabu Sanaw Market,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,123.83855,10.2632
"Tuka Public Market, Marawi City",BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,124.27914,7.9966
Baguio City Public Market,CAR - Cordillera Administrative Region,120.59555,16.4152
Bontoc Public Market,CAR - Cordillera Administrative Region,120.97696,17.0896
Dagupan Public Market,CAR - Cordillera Administrative Region,120.33624,16.043
La Trinidad Public Market,CAR - Cordillera Administrative Region,120.59005,16.4482
Lagawe Public Market,CAR - Cordillera Administrative Region,121.12454,16.7997
Luna Public Market,CAR - Cordillera Administrative Region,120.37536,16.8537
Commonwealth Market,NCR - National Capital Region,121.08645,14.6952
Guadalupe Market,NCR - National Capital Region,121.04572,14.5665
Malabon Central Market,NCR - National Capital Region,120.95088,14.6564
Marikina Public Market,NCR - National Capital Region,121.0961,14.6332
Mega Q Mart,NCR - National Capital Region,121.0478,14.6277
Munoz Market,NCR - National Capital Region,121.0198,14.6567
New Las Pinas City,NCR - National Capital Region,120.9703,14.4657
Pamilihang Lungsod Ng Muntinlupa,NCR - National Capital Region,121.04464,14.4194
Pasay City Market,NCR - National Capital Region,120.99827,14.5474
Pasig City Mega Market,NCR - National Capital Region,121.08305,14.5594
Pritil Public Market,NCR - National Capital Region,120.9698,14.6177
Quinta Market,NCR - National Capital Region,120.98286,14.5966
San Andres Market,NCR - National Capital Region,120.98902,14.5695
Agoo Public Market,Ilocos Region (Region I),120.36193,16.3213
Alaminos Nepo Alley Market,Ilocos Region (Region I),119.98087,16.1555
Aringay Public Market,Ilocos Region (Region I),120.35527,16.398
Bacarra Public Market,Ilocos Region (Region I),120.62252,18.2443
Bacnotan Public Market,Ilocos Region (Region I),120.34773,16.72
Badoc Public Market,Ilocos Region (Region I),120.47594,17.9231
Balaoan Public Market,Ilocos Region (Region I),120.40335,16.8207
Bangar Public Market,Ilocos Region (Region I),120.42173,16.8934
Cabugao Public Market,Ilocos Region (Region I),120.45649,17.7995
Candon City Farmers Public Market,Ilocos Region (Region I),120.44464,17.1928
Laoag City Commercial Complex,Ilocos Region (Region I),120.59554,18.194
Mangatarem Public Market,Ilocos Region (Region I),120.29364,15.7917
Narvacan Public Market,Ilocos Region (Region I),120.47555,17.4184
Pagudpud Public Market,Ilocos Region (Region I),120.7864,18.5599
San Fernando Wet Market,Ilocos Region (Region I),120.31463,16.6179
San Jacinto Public Market,Ilocos Region (Region I),120.43786,16.073
San Juan Public Market,Ilocos Region (Region I),120.33618,16.669
Sinait Public Market,Ilocos Region (Region I),120.45569,17.8632
Sto. Domingo Public Market,Ilocos Region (Region I),120.40977,17.6396
Sudipen Public Market,Ilocos Region (Region I),120.46309,16.905
Tagudin Yellow Market,Ilocos Region (Region I),120.44855,16.9323
Urdaneta City Public Market,Ilocos Region (Region I),120.56745,15.9746
Vigan Public Market,Ilocos Region (Region I),120.3848,17.5684
Abulug Public Market,Cagayan Valley (Region II),121.45304,18.4466
Agdao Public Market,Cagayan Valley (Region II),125.62298,7.0821
Aparri Public Market,Cagayan Valley (Region II),121.64148,18.3547
Aritao Public Market,Cagayan Valley (Region II),121.03337,16.2974
Bagabag Public Market,Cagayan Valley (Region II),121.25183,16.6046
Bambang Public Market,Cagayan Valley (Region II),121.1082,16.3893
Basco Public Market,Cagayan Valley (Region II),120.59529,16.4152
Bayombong Public Market,Cagayan Valley (Region II),121.14652,16.4861
Cabarroguis Public Market,Cagayan Valley (Region II),121.52103,16.5211
Cauayan City Public Market,Cagayan Valley (Region II),121.76729,16.9407
Diffun Public Market,Cagayan Valley (Region II),121.50381,16.5943
Gattaran Public Market,Cagayan Valley (Region II),121.64333,18.0646
Ilagan City Public Market,Cagayan Valley (Region II),121.6434,18.0647
Ivana Public Market,Cagayan Valley (Region II),121.73719,17.7525
Maddela Public Market,Cagayan Valley (Region II),121.68289,16.3416
Mahatao Public Market,Cagayan Valley (Region II),120.59555,16.4152
Saguday Public Market,Cagayan Valley (Region II),121.56349,16.5393
Santiago City Public Market,Cagayan Valley (Region II),121.54784,16.6878
Solano Public Market,Cagayan Valley (Region II),121.18197,16.516
Tuao Public Market,Cagayan Valley (Region II),121.45925,17.7345
Tuguegarao City Public Market,Cagayan Valley (Region II),121.73305,17.6252
Tumauini Public Market,Cagayan Valley (Region II),121.80856,17.279
Uyugan Public Market,Cagayan Valley (Region II),121.99844,18.2618
Baler Public Market,Central Luzon (Region III),121.55859,15.7533
Iba Public Market,Central Luzon (Region III),119.9741,15.3367
Macabebe Public Market,Central Luzon (Region III),120.71535,14.9037
Malolos City Public Market,Central Luzon (Region III),120.81406,14.8435
Mariveles Public Market,Central Luzon (Region III),120.48757,14.4369
San Ildefonso Public Market,Central Luzon (Region III),120.94199,15.079
San Jose City Public Market,Central Luzon (Region III),120.99082,15.7942
Subic Market,Central Luzon (Region III),120.2329,14.8769
Talavera Public Market,Central Luzon (Region III),120.92199,15.5835
Tarlac City Public Market,Central Luzon (Region III),120.59124,15.4899
Binan Public Market,CALBARZON (Region IV-A),121.08436,14.3381
Lipa City Public Market,CALBARZON (Region IV-A),121.16113,13.9435
Lucena City Public Market,CALBARZON (Region IV-A),121.61456,13.9334
Tanay Public Market,CALBARZON (Region IV-A),121.28821,14.4927
